Broker Pseudonym,Contract Status Type,Entry Status,In Force Today,Inception Date,Info,Policy Reference Record ID,As if policy premium,Benchmark Net Premium,Committed RRV %,Gross Written Premium Aspen Share,Incurred Claims Aspen Share,Net Written Premium Aspen Share,Technical Adequacy %,Total Acquisition cost
Rodriguez and Sons,Bound,LIVE,N,01-06-2013,i,001469,,,,25500,797.5,23587.5,,1912.5
Gottlieb and Veum,Bound,LIVE,N,27-04-2013,i,001477,,,,10766.25,1477.86,8619.8,,2146.45
Gottlieb and Veum,Bound,LIVE,N,27-04-2013,i,001483,,,,10766.25,,8290.01,,2476.24
Gottlieb and Veum,Bound,LIVE,N,15-05-2013,i,001489,,,,1706.1,,1267.61,,438.49
Gottlieb and Veum,Bound,LIVE,N,15-05-2013,i,001492,,,,2036.1,,1567.8,,468.3
Gottlieb and Veum,Bound,LIVE,N,20-05-2013,i,001495,,,,495,,268.45,,226.55
Gottlieb and Veum,Bound,LIVE,N,20-05-2013,i,001496,,,,709.5,,546.32,,163.18
Bergnaum Group,Bound,LIVE,N,31-05-2013,i,001497,,,,13800,,11040,,2760
Bergnaum Group,Bound,LIVE,N,31-05-2013,i,001498,,,,21500,,17200,,4300
Gottlieb and Veum,Bound,LIVE,N,03-05-2013,i,001499,,,,14850,21728.42,11814.01,,3035.99
Gottlieb and Veum,Bound,LIVE,N,03-05-2013,i,001507,,,,14850,506.58,11434.5,,3415.5
Rau and Fisher,Bound,LIVE,N,14-06-2013,i,001515,,,,20000,,16500,,3500
Gottlieb and Veum,Bound,LIVE,N,24-05-2013,i,001517,,,,520,,310,,210
Gottlieb and Veum,Bound,LIVE,N,24-05-2013,i,001525,,,,520,,390,,130
Gottlieb and Veum,Bound,LIVE,N,01-06-2013,i,001533,,,,1305.96,,938.77,,367.19
Gottlieb and Veum,Bound,LIVE,N,01-06-2013,i,001536,,,,1578.8,,1184.1,,394.7
Gottlieb and Veum,Bound,LIVE,N,02-06-2013,i,001539,,,,1457,,1059.6,,397.4
Gottlieb and Veum,Bound,LIVE,N,02-06-2013,i,001547,,,,1457,,1092.75,,364.25
Gottlieb and Veum,Bound,LIVE,N,12-06-2013,i,001555,,,,4082.8,,2948.24,,1134.56
Gottlieb and Veum,Bound,LIVE,N,12-06-2013,i,001562,,,,4082.8,,3062.1,,1020.7
Rodriguez and Sons,Bound,LIVE,N,01-07-2013,i,001569,,,,189400,119568.7,189400,,0
Gutmann Inc,Bound,LIVE,N,18-06-2013,i,001573,,,,20243,22,16700.47,,3542.53
Gutmann Inc,Bound,LIVE,N,18-06-2013,i,001580,,,,4650,,3720,,930
Gottlieb and Veum,Bound,LIVE,N,01-07-2013,i,001587,,,,500,,294,,206
Gottlieb and Veum,Bound,LIVE,N,01-07-2013,i,001590,,,,1264.09,,948.07,,316.02
Zemlak Inc,Bound,LIVE,N,01-07-2013,i,001593,,,,227579.0849,34167.0108,221889.6079,,5689.477
Huel Wintheiser,Bound,LIVE,N,31-07-2013,i,001600,,,,62241,4625,56016.9,,6224.1
Gottlieb and Veum,Bound,LIVE,N,31-05-2013,i,001601,,,,1645.05,,1357.16,,287.89
Gottlieb and Veum,Bound,LIVE,N,31-05-2013,i,001609,,,,1645.05,,1266.69,,378.36
Gottlieb and Veum,Bound,LIVE,N,19-06-2013,i,001617,,,,2569.05,222.47,1979.55,,589.5
Gottlieb and Veum,Bound,LIVE,N,19-06-2013,i,001623,,,,2569.05,,1978.17,,590.88
Zemlak Inc,Bound,LIVE,N,11-07-2013,i,001629,,,,22085,,21532.88,,552.12
Zemlak Inc,Bound,LIVE,N,11-07-2013,i,001636,,,,33349.75,,32516.01,,833.74
Schaefer Inc,Bound,LIVE,N,01-07-2013,i,001639,,,,12253.62,,9802.9,,2450.72
Schaefer Inc,Bound,LIVE,N,01-07-2013,i,001641,,,,9314.65,,7218.85,,2095.8
Rodriguez and Sons,Bound,LIVE,N,27-06-2013,i,001643,,,,19900,,16915,,2985
Rodriguez and Sons,Bound,LIVE,N,27-06-2013,i,001647,,,,29100,1244.4,23280,,5820
Schaefer Inc,Bound,LIVE,N,05-07-2013,i,001651,,,,50255.74,36083.6,40204.59,,10051.15
Schaefer Inc,Bound,LIVE,N,05-07-2013,i,001658,,,,12421.01,7591,9626.28,,2794.73
Gottlieb and Veum,Bound,LIVE,N,03-07-2013,i,001665,,,,1946.84,,1466.22,,480.62
Gottlieb and Veum,Bound,LIVE,N,03-07-2013,i,001672,,,,1946.84,,1499.07,,447.77
Gottlieb and Veum,Bound,LIVE,N,31-05-2013,i,001679,,,,41461.39,126062.48,32503.29,,8958.1
Gottlieb and Veum,Bound,LIVE,N,31-05-2013,i,001687,,,,41461.39,227620.77,34205.65,,7255.74
Schaefer-Klein,Bound,LIVE,N,01-04-2013,i,001695,,,,22500,1254,21712.5,,787.5
Daniel Inc,Bound,LIVE,N,12-07-2013,i,001696,,,,125000,1224279.278,112500,,12500
Gottlieb and Veum,Bound,LIVE,N,01-06-2013,i,001703,,,,4995,0,3826.4,,1168.6
Gottlieb and Veum,Bound,LIVE,N,01-06-2013,i,001706,,,,4995,,3746.25,,1248.75
Tillman and Sons,Bound,LIVE,N,22-07-2013,i,001709,,,,42500,42520.38,35062.5,,7437.5
Schmitt-Cruickshank,Bound,LIVE,N,14-07-2013,i,001715,,,,12203,4517,10067.48,,2135.52
Schmitt-Cruickshank,Bound,LIVE,N,14-07-2013,i,001718,,,,10000,,8000,,2000
Wolf and Quigley,Bound,LIVE,N,01-07-2013,i,001721,,,,160912.28,2571858.481,155280.35,,5631.93
Gutkowski Inc.,Bound,LIVE,N,23-07-2013,i,001728,,,,2500,,1875,,625
Gutkowski Inc.,Bound,LIVE,N,23-07-2013,i,001730,,,,4200,,3150,,1050
Gottlieb and Veum,Bound,LIVE,N,30-06-2013,i,001732,,,,1270.5,,908.24,,362.26
Gottlieb and Veum,Bound,LIVE,N,30-06-2013,i,001739,,,,1270.5,,978.29,,292.21
Gottlieb and Veum,Bound,LIVE,N,20-07-2013,i,001746,,,,495,,381.15,,113.85
Gottlieb and Veum,Bound,LIVE,N,02-01-2013,i,001752,,,,1037.5,,740.93,,296.57
Gottlieb and Veum,Bound,LIVE,N,02-01-2013,i,001760,,,,5500,,4235,,1265
Gottlieb and Veum,Bound,LIVE,N,05-07-2013,i,001768,,,,1155,,952.88,,202.12
Gottlieb and Veum,Bound,LIVE,N,05-07-2013,i,001772,,,,1155,,889.35,,265.65
Bradtke-Lind,Bound,LIVE,N,13-07-2013,i,001776,,,,4250,,3506.25,,743.75
Bradtke-Lind,Bound,LIVE,N,13-07-2013,i,001777,,,,6000,,4650,,1350
Gottlieb and Veum,Bound,LIVE,N,31-07-2013,i,001778,,,,7431.55,,5824.11,,1607.44
Gottlieb and Veum,Bound,LIVE,N,31-07-2013,i,001785,,,,7431.55,,5722.29,,1709.26
Gottlieb and Veum,Bound,LIVE,N,01-12-2013,i,001792,,,,3590,,2702.4,,887.6
Gottlieb and Veum,Bound,LIVE,N,01-12-2013,i,001793,,,,3590,,2692.5,,897.5
Gottlieb and Veum,Bound,LIVE,N,01-08-2013,i,001794,,,,2480,107,1814.4,,665.6
Gottlieb and Veum,Bound,LIVE,N,01-08-2013,i,001801,,,,2456,,1842,,614
Gottlieb and Veum,Bound,LIVE,N,31-07-2013,i,001808,,,,5022,25442.3,4017.6,,1004.4
Gottlieb and Veum,Bound,LIVE,N,31-07-2013,i,001815,,,,5022,3319.9,3766.5,,1255.5
Gottlieb and Veum,Bound,LIVE,N,29-07-2013,i,001822,,,,1586.43,,1221.35,,365.08
Gottlieb and Veum,Bound,LIVE,N,29-07-2013,i,001828,,,,1586.43,,1221.55,,364.88
Gottlieb and Veum,Bound,LIVE,N,01-10-2013,i,001834,,,,2000,,1500,,500
Gottlieb and Veum,Bound,LIVE,N,20-09-2013,i,001839,,,,45235,5055,36794.15,,8440.85
Gottlieb and Veum,Bound,LIVE,N,20-09-2013,i,001840,,,,6425,,5062.9,,1362.1
Gottlieb and Veum,Bound,LIVE,N,21-08-2013,i,001841,,,,2548,,1868.8,,679.2
Gottlieb and Veum,Bound,LIVE,N,21-08-2013,i,001848,,,,2835.67,,2126.75,,708.92
Zemlak Inc,Bound,LIVE,N,21-08-2013,i,001855,,,,32000,,25600,,6400
Gutkowski Inc.,Bound,LIVE,N,26-09-2013,i,001862,,,,28813.7,,23050.96,,5762.74
Gutkowski Inc.,Bound,LIVE,N,26-09-2013,i,001869,,,,21508.56,,17206.85,,4301.71
Rodriguez and Sons,Bound,LIVE,N,01-10-2013,i,001876,,,,41500,22,34237.5,,7262.5
Rodriguez and Sons,Bound,LIVE,N,01-10-2013,i,001879,,,,52500,,42000,,10500
Gottlieb and Veum,Bound,LIVE,N,12-10-2013,i,001882,,,,5000,9679.88,4000,,1000
Gottlieb and Veum,Bound,LIVE,N,12-10-2013,i,001885,,,,4200,,3150,,1050
Gottlieb and Veum,Bound,LIVE,N,23-04-2013,i,001888,,,,53646.62,72038.5,42917.3,,10729.32
Gottlieb and Veum,Bound,LIVE,N,23-04-2013,i,001895,,,,8357.4,,6268.05,,2089.35
Gottlieb and Veum,Bound,LIVE,N,30-10-2013,i,001902,,,,2203.5,,1593.2,,610.3
Gottlieb and Veum,Bound,LIVE,N,30-10-2013,i,001909,,,,2203.5,,1652.62,,550.88
Swaniawsk-Runte,Bound,LIVE,N,01-01-2013,i,001916,,,,22000,28045.63,18150,,3850
Jones-Willms,Bound,LIVE,N,31-10-2013,i,001921,,,,112078,49216.28,106474.1,,5603.9
Jones-Willms,Bound,LIVE,N,31-10-2013,i,001924,,,,12536,,11909.2,,626.8
Schaefer Inc,Bound,LIVE,N,15-11-2013,i,001927,,,,113300,179156.06,104802.5,,8497.5
Jones-Willms,Bound,LIVE,N,01-03-2013,i,001934,,,,42000,157860.7,34650,,7350
Jones-Willms,Bound,LIVE,N,01-03-2013,i,001942,,,,95000,79950.77,73625,,21375
Wolf and Quigley,Bound,LIVE,N,15-10-2013,i,001950,,,,53144,28765.55,43843.8,,9300.2
Wolf and Quigley,Bound,LIVE,N,15-10-2013,i,001957,,,,10366,50,8033.65,,2332.35
Gutkowski Inc.,Bound,LIVE,N,18-11-2013,i,001964,,,,22588.56,,16941.42,,5647.14
Gutkowski Inc.,Bound,LIVE,N,18-11-2013,i,001971,,,,20000,,15000,,5000
Gottlieb and Veum,Bound,LIVE,N,01-11-2013,i,001978,,,,22603.86,715.18,18426.23,,4177.63
Gottlieb and Veum,Bound,LIVE,N,01-11-2013,i,001985,,,,15296.37,3283.09,12619.51,,2676.86
Schaefer Inc,Bound,LIVE,N,31-03-2013,i,001992,,,,11000,,8800,,2200
Ebert Inc,Bound,LIVE,N,01-10-2013,i,001994,,,,12062.9,,10253.46,,1809.44
Gottlieb and Veum,Bound,LIVE,N,03-03-2013,i,002001,,,,12350,,10291.66,,2058.34
Bradtke-Lind,Bound,LIVE,N,31-03-2013,i,002003,,,,252000,310289.07,249480,,2520
Gottlieb and Veum,Bound,LIVE,N,05-04-2013,i,002015,,,,14495.66,,11596.53,,2899.13
Gottlieb and Veum,Bound,LIVE,N,05-04-2013,i,002023,,,,19391.49,,14543.62,,4847.87
Gutmann Inc,Bound,LIVE,N,01-04-2013,i,002031,,,,4750,,4294.95,,455.05
Gutmann Inc,Bound,LIVE,N,01-04-2013,i,002032,,,,3880,,3448.93,,431.07
Schaefer Inc,Bound,LIVE,N,05-04-2013,i,002033,,,,12500,1479,10000,,2500
Zemlak Inc,Bound,LIVE,N,13-04-2013,i,002037,,,,27250,,26296.25,,953.75
Zemlak Inc,Bound,LIVE,N,13-04-2013,i,002045,,,,25000,22,24125,,875
Bergnaum Group,Bound,LIVE,N,01-05-2013,i,002053,,,,178043.57,49615.4,173592.48,,4451.09
Gutkowski Inc.,Bound,LIVE,N,10-05-2013,i,002061,,,,9250,,6937.5,,2312.5
Gutkowski Inc.,Bound,LIVE,N,10-05-2013,i,002069,,,,6500,,4875,,1625
Swaniawsk-Runte,Bound,LIVE,N,01-07-2013,i,002077,,,,214363.7,122843.85,192927.33,,21436.37
Swaniawsk-Runte,Bound,LIVE,N,01-06-2013,i,002085,,,,80000,81189.52,66000,,14000
Swaniawsk-Runte,Bound,LIVE,N,31-05-2013,i,002087,,,,11600,,9570,,2030
Swaniawsk-Runte,Bound,LIVE,N,31-05-2013,i,002095,,,,10600,2900,8480,,2120
Gottlieb and Veum,Bound,LIVE,N,26-05-2013,i,002103,,,,20124.9,431.37,15781.93,,4342.97
Gottlieb and Veum,Bound,LIVE,N,26-05-2013,i,002110,,,,10138.5,455.18,7603.88,,2534.62
Swaniawsk-Runte,Bound,LIVE,N,01-05-2013,i,002117,,,,563295,1292606.88,495261.85,,68033.15
Gottlieb and Veum,Bound,LIVE,N,11-06-2013,i,002118,,,,1888.92,,1558.36,,330.56
Gottlieb and Veum,Bound,LIVE,N,11-06-2013,i,002125,,,,931.73,,717.43,,214.3
Gottlieb and Veum,Bound,LIVE,N,22-06-2013,i,002132,,,,1000,,800,,200
Gottlieb and Veum,Bound,LIVE,N,22-06-2013,i,002133,,,,1700,,1275,,425
Lang Rolfson Inc,Bound,LIVE,N,30-06-2013,i,002134,,,,261123.39,49305.86,251984.07,,9139.32
Gottlieb and Veum,Bound,LIVE,N,15-06-2013,i,002140,,,,2181.28,,1659.64,,521.64
Gottlieb and Veum,Bound,LIVE,N,15-06-2013,i,002147,,,,2181.28,,1679.59,,501.69
Gottlieb and Veum,Bound,LIVE,N,01-04-2013,i,002154,,,,1500,,1125,,375
Gutkowski Inc.,Bound,LIVE,N,19-07-2013,i,002161,,,,4000,,3000,,1000
Gutkowski Inc.,Bound,LIVE,N,19-07-2013,i,002163,,,,3800,,2850,,950
Rodriguez and Sons,Bound,LIVE,N,01-06-2013,i,002165,,,,30500,1269.36,25162.5,,5337.5
Rodriguez and Sons,Bound,LIVE,N,01-06-2013,i,002173,,,,63250,,49018.75,,14231.25
Ebert Inc,Bound,LIVE,N,01-07-2013,i,002181,,,,303700,199586.74,293070.5,,10629.5
Bergnaum Group,Bound,LIVE,N,20-06-2013,i,002186,,,,4250,,3400,,850
Bergnaum Group,Bound,LIVE,N,20-06-2013,i,002192,,,,4250,,3400,,850
Bergnaum Group,Bound,LIVE,N,01-09-2013,i,002198,,,,11505.12,,10987.39,,517.73
Bergnaum Group,Bound,LIVE,N,01-09-2013,i,002200,,,,15890,1767,15174.95,,715.05
Gottlieb and Veum,Bound,LIVE,N,06-09-2013,i,002202,,,,1200,,900,,300
Gutmann Inc,Bound,LIVE,N,27-08-2013,i,002208,,,,6027.4,,4821.92,,1205.48
Gottlieb and Veum,Bound,LIVE,N,15-10-2013,i,002211,,,,3441.6,,2583.68,,857.92
Gottlieb and Veum,Bound,LIVE,N,15-10-2013,i,002216,,,,3641.6,,2731.2,,910.4
Gottlieb and Veum,Bound,LIVE,N,07-10-2013,i,002221,,,,884.4,,537.92,,346.48
Gottlieb and Veum,Bound,LIVE,N,07-10-2013,i,002228,,,,534.68,,401.01,,133.67
Gottlieb and Veum,Bound,LIVE,N,01-11-2013,i,002235,,,,18915,24379.55,16077.75,,2837.25
Gottlieb and Veum,Bound,LIVE,N,01-11-2013,i,002242,,,,16598.5,,14108.72,,2489.78
Huel Wintheiser,Bound,LIVE,N,01-12-2013,i,002249,,,,8828.1,,8386.7,,441.4
Huel Wintheiser,Bound,LIVE,N,31-12-2013,i,002250,,,,144226.98,54530.66,139179.03,,5047.95
Gottlieb and Veum,Bound,LIVE,N,31-03-2013,i,002252,,,,1284.53,,784.54,,499.99
Gottlieb and Veum,Bound,LIVE,N,31-03-2013,i,002256,,,,1284.53,,1046.89,,237.64
Gottlieb and Veum,Bound,LIVE,N,31-03-2013,i,002260,,,,701.25,,431.6,,269.65
Gottlieb and Veum,Bound,LIVE,N,31-03-2013,i,002267,,,,701.25,,571.52,,129.73
Gottlieb and Veum,Bound,LIVE,N,01-03-2013,i,002274,,,,8934,24702,7147.2,,1786.8
Gottlieb and Veum,Bound,LIVE,N,01-03-2013,i,002276,,,,7280,,5460,,1820
Rodriguez and Sons,Bound,LIVE,N,22-02-2013,i,002278,,,,28800,6053,24480,,4320
Gottlieb and Veum,Bound,LIVE,N,27-02-2013,i,002286,,,,2000,,1430.4,,569.6
Gottlieb and Veum,Bound,LIVE,N,27-02-2013,i,002289,,,,2000,,1500,,500
Gottlieb and Veum,Bound,LIVE,N,29-03-2013,i,002292,,,,2811.88,,2079.9,,731.98
Gottlieb and Veum,Bound,LIVE,N,29-03-2013,i,002295,,,,2811.88,,2108.91,,702.97
Gottlieb and Veum,Bound,LIVE,N,01-06-2013,i,002298,,,,967.4,,695.56,,271.84
Gottlieb and Veum,Bound,LIVE,N,01-06-2013,i,002300,,,,1451.09,,1117.34,,333.75
Zemlak Inc,Bound,LIVE,N,30-04-2013,i,002302,,,,15654.06,,15654.06,,0
Gottlieb and Veum,Bound,LIVE,N,12-07-2013,i,002308,,,,2270.69,,1646.95,,623.74
Gottlieb and Veum,Bound,LIVE,N,12-07-2013,i,002315,,,,2270.69,,1703.02,,567.67
Rodriguez and Sons,Bound,LIVE,N,01-07-2013,i,002322,,,,89629.21,28973.39,89629.21,,0
Swaniawsk-Runte,Bound,LIVE,N,01-07-2013,i,002326,,,,6591,,5437.57,,1153.43
Swaniawsk-Runte,Bound,LIVE,N,01-07-2013,i,002330,,,,4890.62,,3912.5,,978.12
Swaniawsk-Runte,Bound,LIVE,N,01-03-2013,i,002334,,,,3200,,2640,,560
Swaniawsk-Runte,Bound,LIVE,N,01-03-2013,i,002340,,,,3825,,3060,,765
Gottlieb and Veum,Bound,LIVE,N,05-07-2013,i,002346,,,,4713.89,,4190.18,,523.71
Gottlieb and Veum,Bound,LIVE,N,05-07-2013,i,002353,,,,4826.57,1970,4156.16,,670.41
Gottlieb and Veum,Bound,LIVE,N,01-01-2013,i,002360,,,,4163.98,,3331.18,,832.8
Gottlieb and Veum,Bound,LIVE,N,01-01-2013,i,002362,,,,6800,,5100,,1700
Gottlieb and Veum,Bound,LIVE,N,22-08-2013,i,002364,,,,800,,534,,266
Gottlieb and Veum,Bound,LIVE,N,22-08-2013,i,002371,,,,800,,600,,200
Zemlak Inc,Bound,LIVE,N,15-08-2013,i,002378,,,,25000,1225.01,20000,,5000
Bergnaum Group,Bound,LIVE,N,01-07-2013,i,002383,,,,16842,,13894.65,,2947.35
Bergnaum Group,Bound,LIVE,N,01-07-2013,i,002387,,,,12820.5,,9935.89,,2884.61
Gottlieb and Veum,Bound,LIVE,N,03-09-2013,i,002391,,,,400,,214,,186
Gottlieb and Veum,Bound,LIVE,N,03-09-2013,i,002398,,,,400,,300,,100
Bergnaum Group,Bound,LIVE,N,01-10-2013,i,002405,,,,73650,9349.36,67514.95,,6135.05
Swaniawsk-Runte,Bound,LIVE,N,01-10-2013,i,002412,,,,33000,5959,28050,,4950
Ebert Inc,Bound,LIVE,N,29-10-2013,i,002419,,,,81000,35968.08,78165,,2835
Ebert Inc,Bound,LIVE,N,29-10-2013,i,002420,,,,9897.5,,9551.09,,346.41
Gottlieb and Veum,Bound,LIVE,N,01-01-2013,i,002429,,,,,,,,
Gottlieb and Veum,Bound,LIVE,N,01-01-2013,i,002430,,,,,,,,
Rodriguez and Sons,Bound,LIVE,N,01-07-2013,i,002445,,,,9568.25,,9568.25,,0
Jones-Willms,Bound,LIVE,N,01-07-2013,i,002449,,,,125000,54555.59,103125,,21875
Jones-Willms,Bound,LIVE,N,01-07-2013,i,002456,,,,107500,1630.5,88687.5,,18812.5
Zemlak Inc,Bound,LIVE,N,01-01-2013,i,002463,,,,,,,,
Zemlak Inc,Bound,LIVE,N,01-01-2013,i,002464,,,,,,,,
Schaefer Inc,Bound,LIVE,N,01-01-2013,i,002475,,,,,,,,
Schaefer Inc,Bound,LIVE,N,01-01-2013,i,002476,,,,,,,,
Gottlieb and Veum,Bound,LIVE,N,01-01-2013,i,002487,,,,,,,,
Gottlieb and Veum,Bound,LIVE,N,01-01-2013,i,002488,,,,,,,,
Gottlieb and Veum,Bound,LIVE,N,01-01-2013,i,002503,,,,,,,,
Gottlieb and Veum,Bound,LIVE,N,01-01-2013,i,002504,,,,,,,,
Bradtke-Lind,Bound,LIVE,N,01-01-2013,i,002509,,,,,,,,
Bradtke-Lind,Bound,LIVE,N,01-01-2013,i,002510,,,,,,,,
"Swaniawski, Jones and Stroman",Bound,LIVE,N,01-01-2013,i,002525,,,,26000,,22100,,3900
"Swaniawski, Jones and Stroman",Bound,LIVE,N,01-01-2013,i,002526,,,,28000,,23100,,4900
Bergnaum Group,Bound,LIVE,N,01-01-2013,i,002529,,,,16437,,16437,,0
Gottlieb and Veum,Bound,LIVE,N,20-01-2013,i,002537,,,,44250,70720,35400,,8850
Gottlieb and Veum,Bound,LIVE,N,20-01-2013,i,002541,,,,15750,362.5,11812.5,,3937.5
Swaniawsk-Runte,Bound,LIVE,N,01-01-2013,i,002545,,,,,,,,
Swaniawsk-Runte,Bound,LIVE,N,01-01-2013,i,002546,,,,,,,,
Gottlieb and Veum,Bound,LIVE,N,01-01-2013,i,002561,,,,15625,747.1,12500,,3125
Gottlieb and Veum,Bound,LIVE,N,01-01-2013,i,002562,,,,6250,,4687.5,,1562.5
Swaniawsk-Runte,Bound,LIVE,N,01-01-2013,i,002577,,,,22500,,18562.5,,3937.5
Swaniawsk-Runte,Bound,LIVE,N,01-01-2013,i,002585,,,,26500,,21200,,5300
Wolf and Quigley,Bound,LIVE,N,01-05-2013,i,002593,,,,2358,,1945.35,,412.65
Wolf and Quigley,Bound,LIVE,N,01-05-2013,i,002601,,,,6133,,4753.08,,1379.92
Schaefer Inc,Bound,LIVE,N,19-01-2013,i,002609,,,,19500,,15600,,3900
Schaefer Inc,Bound,LIVE,N,19-01-2013,i,002612,,,,20000,,15500,,4500
Gottlieb and Veum,Bound,LIVE,N,15-01-2013,i,002615,,,,14250,,11400,,2850
Gottlieb and Veum,Bound,LIVE,N,15-01-2013,i,002623,,,,22987.5,,17240.62,,5746.88
Schmitt-Cruickshank,Bound,LIVE,N,15-01-2013,i,002631,,,,20627,,18564.3,,2062.7
Schmitt-Cruickshank,Bound,LIVE,N,15-01-2013,i,002632,,,,22825,,20542.5,,2282.5
Swaniawsk-Runte,Bound,LIVE,N,01-01-2013,i,002637,,,,33008.94,33355.8049,27232.37,,5776.57
Bradtke-Lind,Bound,LIVE,N,31-01-2013,i,002645,,,,750,,618.75,,131.25
Bradtke-Lind,Bound,LIVE,N,31-01-2013,i,002650,,,,4120,,3193,,927
Gottlieb and Veum,Bound,LIVE,N,21-01-2013,i,002656,,,,782.4,,462.51,,319.89
Gottlieb and Veum,Bound,LIVE,N,21-01-2013,i,002664,,,,1440,,1080,,360
Huel Wintheiser,Bound,LIVE,N,01-02-2013,i,002672,,,,27045,,26098.43,,946.57
Gottlieb and Veum,Bound,LIVE,N,25-01-2013,i,002675,,,,16442.91,250,13154.33,,3288.58
Gottlieb and Veum,Bound,LIVE,N,25-01-2013,i,002683,,,,7115.9,,5336.92,,1778.98
Wolf and Quigley,Bound,LIVE,N,17-01-2013,i,002691,,,,7657,17179.09,6508.45,,1148.55
Gottlieb and Veum,Bound,LIVE,N,23-01-2013,i,002699,,,,2211.83,,1618.51,,593.32
Gottlieb and Veum,Bound,LIVE,N,23-01-2013,i,002706,,,,2211.83,,1703.11,,508.72
Swaniawsk-Runte,Bound,LIVE,N,02-02-2013,i,002713,,,,12000,272,9900,,2100
Swaniawsk-Runte,Bound,LIVE,N,02-02-2013,i,002717,,,,19000,,15200,,3800
Swaniawsk-Runte,Bound,LIVE,N,01-02-2013,i,002721,,,,60000,10392.73,51000,,9000
Gottlieb and Veum,Bound,LIVE,N,30-01-2013,i,002732,,,,7824.3,63.16,6358.16,,1466.14
Gottlieb and Veum,Bound,LIVE,N,30-01-2013,i,002738,,,,4390.65,154.14,3558.62,,832.03
"Kozey, Streich and Deckow",Bound,LIVE,N,31-01-2013,i,002744,,,,2475,,1980,,495
"Kozey, Streich and Deckow",Bound,LIVE,N,31-01-2013,i,002745,,,,1800,,1395,,405
Gottlieb and Veum,Bound,LIVE,N,01-02-2013,i,002760,,,,6900.02,,5255.02,,1645
Gottlieb and Veum,Bound,LIVE,N,01-02-2013,i,002761,,,,6164.02,,4623.01,,1541.01
Fritsch and Sons,Bound,LIVE,N,04-02-2013,i,002762,,,,16878,,14899.9,,1978.1
Fritsch and Sons,Bound,LIVE,N,04-02-2013,i,002770,,,,9628.8,,8500.3,,1128.5
Gottlieb and Veum,Bound,LIVE,N,30-04-2013,i,002778,,,,4950,,4308.48,,641.52
Gottlieb and Veum,Bound,LIVE,N,30-04-2013,i,002779,,,,4950,,4308.48,,641.52
Wolf and Quigley,Bound,LIVE,N,13-02-2013,i,002780,,,,19483.56,,16073.94,,3409.62
Wolf and Quigley,Bound,LIVE,N,13-02-2013,i,002785,,,,2500,,1937.5,,562.5
Gottlieb and Veum,Bound,LIVE,N,17-02-2013,i,002790,,,,860,,555.5,,304.5
Gottlieb and Veum,Bound,LIVE,N,17-02-2013,i,002796,,,,970.14,,727.6,,242.54
Gottlieb and Veum,Bound,LIVE,N,18-01-2013,i,002802,,,,8930.27,,8186.38,,743.89
Gottlieb and Veum,Bound,LIVE,N,18-01-2013,i,002805,,,,9707.15,,8542.3,,1164.85
Gottlieb and Veum,Bound,LIVE,N,19-02-2013,i,002808,,,,4313.4,,3235.05,,1078.35
Gottlieb and Veum,Bound,LIVE,N,01-02-2013,i,002816,,,,66760,14943.5,53408,,13352
Gottlieb and Veum,Bound,LIVE,N,01-02-2013,i,002824,,,,45100,122406.17,33825,,11275
Gottlieb and Veum,Bound,LIVE,N,28-01-2013,i,002832,,,,2058.21,,1255.34,,802.87
Gottlieb and Veum,Bound,LIVE,N,28-01-2013,i,002840,,,,3040.29,142.18,2341.02,,699.27
Zemlak Inc,Bound,LIVE,N,01-10-2013,i,002848,,,,68760.13,700,55008.1,,13752.03
Gottlieb and Veum,Bound,LIVE,N,17-02-2013,i,002855,,,,1402.5,,1017.14,,385.36
Gottlieb and Veum,Bound,LIVE,N,17-02-2013,i,002863,,,,1402.5,,1079.93,,322.57
Gottlieb and Veum,Bound,LIVE,N,03-07-2013,i,002871,,,,4430.25,5734.25,3515.04,,915.21
Gottlieb and Veum,Bound,LIVE,N,03-07-2013,i,002878,,,,4430.25,,3411.29,,1018.96
"Kozey, Streich and Deckow",Bound,LIVE,N,27-04-2013,i,002885,,,,4000,,3300,,700
"Kozey, Streich and Deckow",Bound,LIVE,N,27-04-2013,i,002887,,,,7000,,5425,,1575
Gutmann Inc,Bound,LIVE,N,17-05-2013,i,002889,,,,10000,,8750,,1250
Gutmann Inc,Bound,LIVE,N,17-05-2013,i,002890,,,,9300,8545.6,7440,,1860
Swaniawsk-Runte,Bound,LIVE,N,30-06-2013,i,002905,,,,4675,,3856.88,,818.12
Huel Wintheiser,Bound,LIVE,N,01-05-2013,i,002908,,,,113446.92,23189.4,110610.75,,2836.17
Rodriguez and Sons,Bound,LIVE,N,30-06-2013,i,002912,,,,22500,500,19125,,3375
Gottlieb and Veum,Bound,LIVE,N,05-06-2013,i,002915,,,,9288.33,,7112.67,,2175.66
Gottlieb and Veum,Bound,LIVE,N,05-06-2013,i,002922,,,,9288.33,,6966.25,,2322.08
Gutkowski Inc.,Bound,LIVE,N,13-07-2013,i,002929,,,,2700,,2025,,675
Gutkowski Inc.,Bound,LIVE,N,13-07-2013,i,002936,,,,5500,,4125,,1375
Wolf and Quigley,Bound,LIVE,N,31-07-2013,i,002943,,,,142168,130804.8,137156.42,,5011.58
Wolf and Quigley,Bound,LIVE,N,31-07-2013,i,002944,,,,97760,,94338.4,,3421.6
